# xi,H  self-similar master curve (clean coalescence, c=0.272)
-6.000000000000000000e+00,5.838078785286083594e+00
-5.992499999999999716e+00,5.830543640232873415e+00
-5.984999999999999432e+00,5.823008767496745008e+00
-5.977500000000000036e+00,5.815474169571055896e+00
-5.969999999999999751e+00,5.807939848961342300e+00
-5.962499999999999467e+00,5.800405808185395529e+00
-5.955000000000000071e+00,5.792872049773323262e+00
-5.947499999999999787e+00,5.785338576267612609e+00
-5.939999999999999503e+00,5.777805390223205606e+00
-5.932500000000000107e+00,5.770272494207564051e+00
-5.924999999999999822e+00,5.762739890800736120e+00
-5.917499999999999538e+00,5.755207582595430971e+00
-5.910000000000000142e+00,5.747675572197080029e+00
-5.902499999999999858e+00,5.740143862223914262e+00
-5.894999999999999574e+00,5.732612455307030785e+00
-5.887500000000000178e+00,5.725081354090464814e+00
-5.879999999999999893e+00,5.717550561231256268e+00
-5.872499999999999609e+00,5.710020079399530601e+00
-5.865000000000000213e+00,5.702489911278564527e+00
-5.857499999999999929e+00,5.694960059564856181e+00
-5.849999999999999645e+00,5.687430526968205058e+00
-5.842499999999999361e+00,5.679901316211779516e+00
-5.834999999999999964e+00,5.672372430032196711e+00
-5.827499999999999680e+00,5.664843871179588319e+00
-5.819999999999999396e+00,5.657315642417682255e+00
-5.812500000000000000e+00,5.649787746523877274e+00
-5.804999999999999716e+00,5.642260186289315804e+00
-5.797499999999999432e+00,5.634732964518961218e+00
-5.790000000000000036e+00,5.627206084031678657e+00
-5.782499999999999751e+00,5.619679547660302532e+00
-5.774999999999999467e+00,5.612153358251724455e+00
-5.767500000000000071e+00,5.604627518666968733e+00
-5.759999999999999787e+00,5.597102031781263420e+00
-5.752499999999999503e+00,5.589576900484131805e+00
-5.745000000000000107e+00,5.582052127679464348e+00
-5.737499999999999822e+00,5.574527716285597734e+00
-5.729999999999999538e+00,5.567003669235401020e+00
-5.722500000000000142e+00,5.559479989476352024e+00
-5.714999999999999858e+00,5.551956679970623476e+00
-5.707499999999999574e+00,5.544433743695159400e+00
-5.700000000000000178e+00,5.536911183641764822e+00
-5.692499999999999893e+00,5.529389002817183929e+00
-5.684999999999999609e+00,5.521867204243183558e+00
-5.677500000000000213e+00,5.514345790956645565e+00
-5.669999999999999929e+00,5.506824766009637884e+00
-5.662499999999999645e+00,5.499304132469513107e+00
-5.654999999999999361e+00,5.491783893418987539e+00
-5.647499999999999964e+00,5.484264051956228236e+00
-5.639999999999999680e+00,5.476744611194941825e+00
-5.632499999999999396e+00,5.469225574264462431e+00
-5.625000000000000000e+00,5.461706944309839606e+00
-5.617499999999999716e+00,5.454188724491922713e+00
-5.609999999999999432e+00,5.446670917987456839e+00
-5.602500000000000036e+00,5.439153527989172510e+00
-5.594999999999999751e+00,5.431636557705866508e+00
-5.587499999999999467e+00,5.424120010362508459e+00
-5.580000000000000071e+00,5.416603889200318100e+00
-5.572499999999999787e+00,5.409088197476865645e+00
-5.564999999999999503e+00,5.401572938466163265e+00
-5.557500000000000107e+00,5.394058115458758351e+00
-5.549999999999999822e+00,5.386543731761823217e+00
-5.542499999999999538e+00,5.379029790699259905e+00
-5.535000000000000142e+00,5.371516295611787228e+00
-5.527499999999999858e+00,5.364003249857034916e+00
-5.519999999999999574e+00,5.356490656809649309e+00
-5.512500000000000178e+00,5.348978519861385728e+00
-5.504999999999999893e+00,5.341466842421199956e+00
-5.497499999999999609e+00,5.333955627915359266e+00
-5.490000000000000213e+00,5.326444879787533893e+00
-5.482499999999999929e+00,5.318934601498892967e+00
-5.474999999999999645e+00,5.311424796528215531e+00
-5.467499999999999361e+00,5.303915468371985575e+00
-5.459999999999999964e+00,5.296406620544493293e+00
-5.452499999999999680e+00,5.288898256577935442e+00
-5.444999999999999396e+00,5.281390380022524589e+00
-5.437500000000000000e+00,5.273882994446590367e+00
-5.429999999999999716e+00,5.266376103436679834e+00
-5.422499999999999432e+00,5.258869710597670277e+00
-5.415000000000000036e+00,5.251363819552867795e+00
-5.407499999999999751e+00,5.243858433944116548e+00
-5.399999999999999467e+00,5.236353557431909778e+00
-5.392500000000000071e+00,5.228849193695490172e+00
-5.384999999999999787e+00,5.221345346432964440e+00
