# coordinate_x	h	p	Gamma	@time=17.3
-3.000000000000000000e+00	9.999955589252442455e-05	3.821717404076039289e-10	7.111713991478022523e-01
-2.999699999999999811e+00	9.999955589250591179e-05	3.821876447591387105e-10	7.111713954444089936e-01
-2.999400000000000066e+00	9.999955589245035999e-05	3.822231824034985358e-10	7.111713843342291064e-01
-2.999100000000000321e+00	9.999955589235778267e-05	3.822368860883828933e-10	7.111713658172627017e-01
-2.998800000000000132e+00	9.999955589222816630e-05	3.822208424037990801e-10	7.111713398935100017e-01
-2.998499999999999943e+00	9.999955589206151088e-05	3.821964341591188203e-10	7.111713065629714503e-01
-2.998200000000000198e+00	9.999955589185782995e-05	3.821894350370280333e-10	7.111712658256473807e-01
-2.997900000000000009e+00	9.999955589161712351e-05	3.821999274202201062e-10	7.111712176815383479e-01
-2.997599999999999820e+00	9.999955589133937802e-05	3.821780294927511662e-10	7.111711621306449072e-01
-2.997300000000000075e+00	9.999955589102460702e-05	3.821439312222508281e-10	7.111710991729677245e-01
-2.996999999999999886e+00	9.999955589067281052e-05	3.821151553538100628e-10	7.111710288085075771e-01
-2.996699999999999697e+00	9.999955589028398852e-05	3.821226417782865745e-10	7.111709510372652421e-01
-2.996399999999999952e+00	9.999955588985814101e-05	3.821594988895983783e-10	7.111708658592418297e-01
-2.996100000000000207e+00	9.999955588939526800e-05	3.821919356216987504e-10	7.111707732744383392e-01
-2.995800000000000018e+00	9.999955588889536948e-05	3.822119140213028193e-10	7.111706732828558808e-01
-2.995499999999999829e+00	9.999955588835843191e-05	3.822418108728439431e-10	7.111705658844955646e-01
-2.995200000000000085e+00	9.999955588778445528e-05	3.822508750440772166e-10	7.111704510793589451e-01
-2.994900000000000340e+00	9.999955588717345314e-05	3.822217026332918677e-10	7.111703288674472434e-01
-2.994600000000000151e+00	9.999955588652541195e-05	3.821916718044906758e-10	7.111701992487621249e-01
-2.994299999999999962e+00	9.999955588584034526e-05	3.821741569962129854e-10	7.111700622233050328e-01
-2.994000000000000217e+00	9.999955588511822595e-05	3.821910320788787818e-10	7.111699177910776326e-01
-2.993700000000000028e+00	9.999955588435909470e-05	3.821798011032388616e-10	7.111697659520818116e-01
-2.993399999999999839e+00	9.999955588356292439e-05	3.821752076676971381e-10	7.111696067063193460e-01
-2.993100000000000094e+00	9.999955588272974212e-05	3.821723595402607727e-10	7.111694400537922345e-01
-2.992799999999999905e+00	9.999955588185952080e-05	3.821857490038780254e-10	7.111692659945024753e-01
-2.992499999999999716e+00	9.999955588095227397e-05	3.821899507938646573e-10	7.111690845284523999e-01
-2.992199999999999971e+00	9.999955588000800164e-05	3.821687830327633951e-10	7.111688956556438956e-01
-2.991900000000000226e+00	9.999955587902669026e-05	3.821814753524671622e-10	7.111686993760795161e-01
