File	Min_h	Min_x
domain_000000.txt	0.001	-0.0027000000000001467
domain_000001.txt	0.0007289723687229354	0.0005999999999999339
domain_000002.txt	0.0007255947756308071	0.0011999999999998678
domain_000003.txt	0.0007453266643584707	0.0018000000000000238
domain_000004.txt	0.0007625752362157633	0.0030000000000001137
domain_000005.txt	0.0007847652892708411	0.003600000000000048
domain_000006.txt	0.0008090086287694127	0.0041999999999999815
domain_000007.txt	0.0008330764165476105	0.0047999999999999154
domain_000008.txt	0.0008543697694581141	0.005999999999999783
domain_000009.txt	0.0008730821033363871	0.006599999999999939
domain_000010.txt	0.0008912622614175566	0.007200000000000095
domain_000011.txt	0.0009087536121527923	0.007800000000000029
domain_000012.txt	0.0009254648095780164	0.008399999999999963
domain_000013.txt	0.0009414089616111248	0.008999999999999897
domain_000014.txt	0.0009565893099220848	0.009599999999999831
domain_000015.txt	0.0009710639158184986	0.010199999999999987
domain_000016.txt	0.0009848629300260026	0.010800000000000143
domain_000017.txt	0.0009980533696897303	0.011400000000000077
domain_000018.txt	0.0010106714299155768	0.01200000000000001
domain_000019.txt	0.0010227821399071088	0.012599999999999945
domain_000020.txt	0.001034420911395794	0.013199999999999878
domain_000021.txt	0.0010456476197219027	0.013800000000000034
domain_000022.txt	0.001056494736106888	0.01440000000000019
domain_000023.txt	0.0010670164009841604	0.015000000000000124
domain_000024.txt	0.0010772416535969522	0.015600000000000058
domain_000025.txt	0.0010872191779119937	0.016199999999999992
domain_000026.txt	0.0010960249007553003	0.016199999999999992
domain_000027.txt	0.0011041722423685368	0.016799999999999926
domain_000028.txt	0.0011121307384775443	0.01739999999999986
domain_000029.txt	0.001119927097147892	0.01799999999999979
domain_000030.txt	0.001127602185288616	0.018599999999999946
domain_000031.txt	0.0011351790670026298	0.019200000000000102
domain_000032.txt	0.0011426944001549715	0.01980000000000004
domain_000033.txt	0.001150168214369225	0.020399999999999974
domain_000034.txt	0.0011576335490364911	0.020999999999999908
domain_000035.txt	0.0011643556704379972	0.020999999999999908
domain_000036.txt	0.0011699948014192423	0.02159999999999984
domain_000037.txt	0.0011756848894525739	0.0222
domain_000038.txt	0.0011814422735188176	0.022800000000000157
domain_000039.txt	0.001187293912517934	0.023400000000000087
domain_000040.txt	0.0011932541087082249	0.02400000000000002
domain_000041.txt	0.0011993474772711487	0.024599999999999955
domain_000042.txt	0.0012044669763600687	0.024599999999999955
domain_000043.txt	0.0012088142591402207	0.02519999999999989
domain_000044.txt	0.001213346240179451	0.025800000000000045
