# coordinate_x	h	p	@time=521.29
0.000000000000000000e+00	2.700214717807115639e-01	5.715676163216500960e-01
5.000000000000000104e-03	2.700179040724790536e-01	5.715676161859696292e-01
1.000000000000000021e-02	2.700072009489511426e-01	5.715676157788637246e-01
1.499999999999999944e-02	2.699893624113878232e-01	5.715676151002631045e-01
2.000000000000000042e-02	2.699643884628494805e-01	5.715676141499990148e-01
2.500000000000000139e-02	2.699322791068453631e-01	5.715676129278781659e-01
2.999999999999999889e-02	2.698930343486444783e-01	5.715676114336101232e-01
3.500000000000000333e-02	2.698466541939587016e-01	5.715676096668801387e-01
4.000000000000000083e-02	2.697931386502633866e-01	5.715676076272758754e-01
4.499999999999999833e-02	2.697324877254798636e-01	5.715676053143603497e-01
5.000000000000000278e-02	2.696647014292996025e-01	5.715676027275986559e-01
5.500000000000000028e-02	2.695897797718646571e-01	5.715675998664309088e-01
5.999999999999999778e-02	2.695077227650957696e-01	5.715675967301985239e-01
6.500000000000000222e-02	2.694185304213702614e-01	5.715675933182171597e-01
7.000000000000000666e-02	2.693222027548549113e-01	5.715675896297035541e-01
7.500000000000001110e-02	2.692187397801799054e-01	5.715675856638475771e-01
8.000000000000000167e-02	2.691081415137778765e-01	5.715675814197392901e-01
8.499999999999999223e-02	2.689904079725530806e-01	5.715675768964414427e-01
8.999999999999999667e-02	2.688655391752269308e-01	5.715675720929154213e-01
9.500000000000000111e-02	2.687335351410022888e-01	5.715675670080947457e-01
1.000000000000000056e-01	2.685943958909157714e-01	5.715675616408102400e-01
1.050000000000000100e-01	2.684481214464966015e-01	5.715675559898637514e-01
1.100000000000000006e-01	2.682947118311265755e-01	5.715675500539533216e-01
1.149999999999999911e-01	2.681341670686923084e-01	5.715675438317465717e-01
1.199999999999999956e-01	2.679664871849543606e-01	5.715675373218057631e-01
1.250000000000000000e-01	2.677916722061915999e-01	5.715675305226617375e-01
1.300000000000000044e-01	2.676097221605802101e-01	5.715675234327379783e-01
1.350000000000000089e-01	2.674206370768296148e-01	5.715675160504251062e-01
1.400000000000000133e-01	2.672244169855725326e-01	5.715675083740048290e-01
1.450000000000000178e-01	2.670210619179913536e-01	5.715675004017239935e-01
1.499999999999999944e-01	2.668105719072195736e-01	5.715674921317187573e-01
1.549999999999999989e-01	2.665929469869586232e-01	5.715674835620886407e-01
1.600000000000000033e-01	2.663681871928915146e-01	5.715674746908201431e-01
1.650000000000000078e-01	2.661362925612886232e-01	5.715674655158611284e-01
1.700000000000000122e-01	2.658972631304351020e-01	5.715674560350443301e-01
