File	Min_h	Min_x
domain_000000.txt	0.0001	-0.0005249999999999422
domain_000001.txt	0.00010544518281553188	0.0
domain_000002.txt	0.00012627749174803923	0.0
domain_000003.txt	0.000147284946404587	0.0
domain_000004.txt	0.00016787846736648283	0.0
domain_000005.txt	0.00018676606342437737	0.0005999999999999339
domain_000006.txt	0.00020318817559644947	0.0005999999999999339
domain_000007.txt	0.00022040294523151092	0.0005999999999999339
domain_000008.txt	0.00023835560592603728	0.0005999999999999339
domain_000009.txt	0.0002570023752058058	0.0005999999999999339
domain_000010.txt	0.000276308930559602	0.0005999999999999339
domain_000011.txt	0.00029624915861106607	0.0005999999999999339
domain_000012.txt	0.00031644811048767965	0.0011999999999998678
domain_000013.txt	0.0003337947811394732	0.0011999999999998678
domain_000014.txt	0.00035196052816366	0.0011999999999998678
domain_000015.txt	0.0003709147130857672	0.0011999999999998678
domain_000016.txt	0.0003906311155703084	0.0011999999999998678
domain_000017.txt	0.00041108697352626927	0.0011999999999998678
domain_000018.txt	0.0004307035301133683	0.0018000000000000238
domain_000019.txt	0.0004491528232520702	0.0018000000000000238
domain_000020.txt	0.00046844173191546335	0.0018000000000000238
domain_000021.txt	0.0004885469009241049	0.0018000000000000238
domain_000022.txt	0.0005094468350537588	0.0018000000000000238
domain_000023.txt	0.000529263962071947	0.00240000000000018
domain_000024.txt	0.0005484863311275628	0.00240000000000018
domain_000025.txt	0.0005685653359687303	0.00240000000000018
domain_000026.txt	0.0005894808406665116	0.00240000000000018
domain_000027.txt	0.0006107027445897802	0.0030000000000001137
domain_000028.txt	0.0006301420820705384	0.0030000000000001137
domain_000029.txt	0.0006504584702599585	0.0030000000000001137
domain_000030.txt	0.0006716332997139777	0.0030000000000001137
domain_000031.txt	0.0006933318933140392	0.003600000000000048
domain_000032.txt	0.0007132076258201186	0.003600000000000048
domain_000033.txt	0.0007339687163748725	0.003600000000000048
domain_000034.txt	0.0007555977692904089	0.003600000000000048
domain_000035.txt	0.0007772136350206751	0.0041999999999999815
domain_000036.txt	0.0007976943999820004	0.0041999999999999815
domain_000037.txt	0.0008190609118525808	0.0041999999999999815
domain_000038.txt	0.0008412965886068436	0.0041999999999999815
domain_000039.txt	0.0008624567391996514	0.0047999999999999154
domain_000040.txt	0.0008836724298157694	0.0047999999999999154
domain_000041.txt	0.0009057686187934656	0.0047999999999999154
domain_000042.txt	0.0009280377971619673	0.0053999999999998485
domain_000043.txt	0.0009492010748386362	0.0053999999999998485
domain_000044.txt	0.0009712506830887432	0.0053999999999998485
domain_000045.txt	0.0009941712047240217	0.0053999999999998485
domain_000046.txt	0.0010154846314148292	0.005999999999999783
domain_000047.txt	0.0010375692637286007	0.005999999999999783
domain_000048.txt	0.0010605270859132558	0.005999999999999783
domain_000049.txt	0.0010824232475755995	0.006599999999999939
domain_000050.txt	0.0011046137174877831	0.006599999999999939
domain_000051.txt	0.00112767633878676	0.006599999999999939
domain_000052.txt	0.001149945629066072	0.007200000000000095
domain_000053.txt	0.0011723030513559971	0.007200000000000095
domain_000054.txt	0.0011955289876470483	0.007200000000000095
domain_000055.txt	0.001218010876831258	0.007800000000000029
domain_000056.txt	0.0012405876322185872	0.007800000000000029
domain_000057.txt	0.0012640271674095379	0.007800000000000029
domain_000058.txt	0.0012865890877749775	0.008399999999999963
domain_000059.txt	0.0013094298481494367	0.008399999999999963
domain_000060.txt	0.0013331259684804502	0.008399999999999963
domain_000061.txt	0.0013556656055712431	0.008999999999999897
domain_000062.txt	0.001378808204093887	0.008999999999999897
domain_000063.txt	0.0014026021795759563	0.009599999999999831
domain_000064.txt	0.0014252288590952628	0.009599999999999831
domain_000065.txt	0.0014487051066269722	0.009599999999999831
domain_000066.txt	0.0014722771352951196	0.010199999999999987
domain_000067.txt	0.0014952749838723707	0.010199999999999987
domain_000068.txt	0.0015191113609822823	0.010199999999999987
domain_000069.txt	0.0015424080520250395	0.010800000000000143
domain_000070.txt	0.001565799617896564	0.010800000000000143
domain_000071.txt	0.001590017906736061	0.010800000000000143
domain_000072.txt	0.0016129986790554887	0.011400000000000077
domain_000073.txt	0.0016368022277933113	0.011400000000000077
domain_000074.txt	0.0016606336253614559	0.01200000000000001
domain_000075.txt	0.0016840502320776883	0.01200000000000001
domain_000076.txt	0.0017082802431305228	0.01200000000000001
domain_000077.txt	0.0017316976101661523	0.012599999999999945
domain_000078.txt	0.0017555652960536995	0.012599999999999945
domain_000079.txt	0.0017796865723744488	0.013199999999999878
domain_000080.txt	0.0018032161864719233	0.013199999999999878
domain_000081.txt	0.0018275434862663011	0.013199999999999878
domain_000082.txt	0.0018511828390117932	0.013800000000000034
domain_000083.txt	0.0018751920833497472	0.013800000000000034
domain_000084.txt	0.0018994198991622376	0.01440000000000019
domain_000085.txt	0.0019231321886130127	0.01440000000000019
domain_000086.txt	0.0019476247752553404	0.01440000000000019
domain_000087.txt	0.001971324166244724	0.015000000000000124
domain_000088.txt	0.0019955359617044267	0.015000000000000124
domain_000089.txt	0.002019731839947496	0.015600000000000058
domain_000090.txt	0.0020436811869267023	0.015600000000000058
domain_000091.txt	0.0020683243667789595	0.016199999999999992
domain_000092.txt	0.0020920285925718875	0.016199999999999992
domain_000093.txt	0.0021164901965279974	0.016199999999999992
domain_000094.txt	0.002140548883194136	0.016799999999999926
domain_000095.txt	0.0021647769351117088	0.016799999999999926
domain_000096.txt	0.0021892169776979737	0.01739999999999986
domain_000097.txt	0.0022132265310113833	0.01739999999999986
domain_000098.txt	0.0022379737427525356	0.01739999999999986
domain_000099.txt	0.0022618149234473065	0.01799999999999979
domain_000100.txt	0.0022863527261759516	0.01799999999999979
domain_000101.txt	0.0023105214305140275	0.018599999999999946
domain_000102.txt	0.002334862919186337	0.018599999999999946
domain_000103.txt	0.002359326789467604	0.019200000000000102
domain_000104.txt	0.002383484298476879	0.019200000000000102
domain_000105.txt	0.002408214445505402	0.01980000000000004
domain_000106.txt	0.002432199586221	0.01980000000000004
domain_000107.txt	0.0024568914734332055	0.01980000000000004
domain_000108.txt	0.0024809925780135194	0.020399999999999974
domain_000109.txt	0.002505517322957881	0.020399999999999974
domain_000110.txt	0.002529849294615889	0.020999999999999908
domain_000111.txt	0.0025542170099348807	0.020999999999999908
domain_000112.txt	0.002578756547994619	0.02159999999999984
domain_000113.txt	0.0026029767411735183	0.02159999999999984
domain_000114.txt	0.002627702966277047	0.0222
domain_000115.txt	0.002651784573236803	0.0222
domain_000116.txt	0.00267654082673514	0.0222
domain_000117.txt	0.0027006291643576924	0.022800000000000157
domain_000118.txt	0.002725249263455024	0.022800000000000157
domain_000119.txt	0.002749500698132873	0.023400000000000087
domain_000120.txt	0.002773992437358191	0.023400000000000087
domain_000121.txt	0.0027983897955553127	0.02400000000000002
domain_000122.txt	0.002822760492220725	0.02400000000000002
domain_000123.txt	0.0028472883440165443	0.024599999999999955
domain_000124.txt	0.0028715448656902254	0.024599999999999955
domain_000125.txt	0.0028961885429052456	0.02519999999999989
domain_000126.txt	0.002920337327253283	0.02519999999999989
domain_000127.txt	0.0029450836501041058	0.025800000000000045
domain_000128.txt	0.002969130730663063	0.025800000000000045
domain_000129.txt	0.0029938080615731807	0.025800000000000045
domain_000130.txt	0.003017918163696431	0.0264000000000002
domain_000131.txt	0.003042493349061896	0.0264000000000002
domain_000132.txt	0.00306669362859974	0.02700000000000013
domain_000133.txt	0.0030911719348688024	0.02700000000000013
domain_000134.txt	0.003115451286576584	0.02760000000000007
domain_000135.txt	0.0031398376417438906	0.02760000000000007
